MONTH,AIRLINE,ORIGIN_AIRPORT,total_voos,total_atrasados,soma_delay
1,AA,ABQ,123,10,580.0
1,AA,ATL,396,65,3265.0
1,AA,AUS,634,92,3822.0
1,AA,BDL,87,16,1374.0
1,AA,BHM,58,10,2198.0
1,AA,BNA,289,41,1558.0
1,AA,BOS,812,130,7679.0
1,AA,BWI,216,51,3502.0
1,AA,CLE,93,26,2252.0
1,AA,CLT,395,39,1605.0
1,AA,CMH,125,20,1234.0
1,AA,COS,58,15,1552.0
1,AA,DAY,87,11,706.0
1,AA,DCA,909,139,7198.0
1,AA,DEN,479,145,7459.0
1,AA,DFW,12259,2854,144796.0
1,AA,DSM,56,13,1080.0
1,AA,DTW,236,37,1817.0
1,AA,EGE,195,40,3374.0
1,AA,ELP,115,25,1521.0
1,AA,EWR,303,67,4385.0
1,AA,FAT,50,10,2953.0
1,AA,FLL,310,55,2130.0
1,AA,GUC,31,6,680.0
1,AA,HDN,40,9,409.0
1,AA,HNL,169,36,4506.0
1,AA,HOU,56,5,25.0
1,AA,IAD,211,32,1570.0
1,AA,IAH,443,64,2752.0
1,AA,ICT,60,7,721.0
1,AA,IND,152,28,1928.0
1,AA,JAC,36,3,-130.0
1,AA,JAX,117,18,2579.0
1,AA,JFK,1283,276,18004.0
1,AA,KOA,36,6,104.0
1,AA,LAS,881,113,8073.0
1,AA,LAX,2591,296,9291.0
1,AA,LGA,1106,211,9001.0
1,AA,LIH,44,6,25.0
1,AA,LIT,9,2,113.0
1,AA,MCI,211,30,792.0
1,AA,MCO,932,159,7281.0
1,AA,MEM,75,14,1850.0
1,AA,MFE,150,25,713.0
1,AA,MIA,4248,1045,53463.0
1,AA,MKE,93,14,684.0
1,AA,MSP,349,73,7514.0
1,AA,MSY,242,36,2720.0
1,AA,MTJ,5,3,117.0
1,AA,OGG,97,17,889.0
1,AA,OKC,175,20,740.0
1,AA,OMA,145,12,2583.0
1,AA,ONT,111,17,1625.0
1,AA,ORD,3812,961,54172.0
1,AA,ORF,57,12,263.0
1,AA,PBI,204,38,1823.0
1,AA,PDX,113,13,458.0
1,AA,PHL,267,53,3870.0
1,AA,PHX,506,81,6126.0
1,AA,PIT,110,19,997.0
1,AA,PSP,118,22,785.0
1,AA,RDU,314,30,1507.0
1,AA,RIC,62,8,486.0
1,AA,RNO,91,16,1171.0
1,AA,RSW,178,33,1448.0
1,AA,SAN,434,50,1413.0
1,AA,SAT,438,58,1637.0
1,AA,SDF,26,8,340.0
1,AA,SEA,369,53,2956.0
1,AA,SFO,862,153,8572.0
1,AA,SJC,176,32,2576.0
1,AA,SJU,371,78,4338.0
1,AA,SLC,173,36,1974.0
1,AA,SMF,113,17,2496.0
1,AA,SNA,390,43,928.0
1,AA,STL,424,69,2201.0
1,AA,STT,108,23,1300.0
1,AA,STX,50,4,324.0
1,AA,TPA,503,71,2260.0
1,AA,TUL,244,32,1074.0
1,AA,TUS,263,32,689.0
1,AS,ABQ,31,2,-222.0
1,AS,ADK,9,1,-60.0
1,AS,ADQ,29,2,-256.0
1,AS,ANC,992,81,400.0
1,AS,ATL,31,10,300.0
1,AS,AUS,31,2,-62.0
1,AS,BET,80,5,-185.0
1,AS,BLI,93,4,96.0
1,AS,BOS,105,31,1935.0
1,AS,BRW,80,14,567.0
1,AS,BUR,93,12,362.0
1,AS,BWI,31,6,171.0
1,AS,CDV,60,7,-500.0
1,AS,DCA,120,13,89.0
1,AS,DEN,124,13,105.0
1,AS,DFW,105,13,306.0
1,AS,DTW,31,8,255.0
1,AS,EWR,57,9,472.0
1,AS,FAI,154,14,138.0
1,AS,FLL,31,6,91.0
1,AS,GEG,145,18,447.0
1,AS,HNL,183,29,741.0
1,AS,IAH,31,5,212.0
1,AS,JNU,296,47,2049.0
1,AS,KOA,133,22,1153.0
1,AS,KTN,178,26,516.0
1,AS,LAS,383,46,541.0
1,AS,LAX,591,45,444.0
1,AS,LIH,123,18,244.0
1,AS,MCI,31,2,-177.0
1,AS,MCO,63,9,123.0
1,AS,MSP,35,5,30.0
1,AS,MSY,31,3,-71.0
1,AS,OAK,198,17,-379.0
1,AS,OGG,275,49,1796.0
1,AS,OME,58,6,6.0
1,AS,ONT,13,2,26.0
1,AS,ORD,100,22,1290.0
1,AS,OTZ,60,8,330.0
1,AS,PDX,1126,114,2270.0
1,AS,PHL,31,12,486.0
1,AS,PHX,207,33,1508.0
1,AS,PSG,61,12,557.0
1,AS,PSP,156,21,216.0
1,AS,SAN,439,29,-740.0
1,AS,SAT,31,3,-180.0
1,AS,SCC,78,14,491.0
1,AS,SEA,4044,556,20490.0
1,AS,SFO,450,69,2890.0
1,AS,SIT,92,12,165.0
1,AS,SJC,407,49,1580.0
1,AS,SLC,211,10,-592.0
1,AS,SMF,162,17,306.0
1,AS,SNA,271,24,-578.0
1,AS,STL,31,3,23.0
1,AS,TPA,31,3,-19.0
1,AS,TUS,32,2,-161.0
1,AS,WRG,60,10,278.0
1,AS,YAK,59,7,-473.0
1,B6,ABQ,20,5,233.0
1,B6,AUS,186,30,915.0
1,B6,BDL,304,78,3992.0
1,B6,BOS,3034,587,26777.0
1,B6,BQN,78,13,717.0
1,B6,BTV,85,14,163.0
1,B6,BUF,311,67,2499.0
1,B6,BUR,30,5,229.0
1,B6,BWI,115,20,212.0
1,B6,CHS,142,22,1178.0
1,B6,CLT,107,26,1085.0
1,B6,DCA,817,113,5139.0
1,B6,DEN,75,23,1282.0
1,B6,DFW,45,12,432.0
1,B6,DTW,84,6,-244.0
1,B6,EWR,587,114,5790.0
1,B6,FLL,1599,385,18986.0
1,B6,HOU,63,19,871.0
1,B6,HPN,306,68,4257.0
1,B6,IAD,157,28,1446.0
1,B6,JAX,240,36,1558.0
1,B6,JFK,3318,631,31641.0
1,B6,LAS,316,53,2480.0
1,B6,LAX,340,59,2640.0
1,B6,LGA,559,199,11062.0
1,B6,LGB,636,84,2591.0
1,B6,MCO,1524,389,23595.0
1,B6,MSY,93,24,1141.0
1,B6,OAK,111,14,299.0
1,B6,ORD,161,33,1081.0
1,B6,ORH,52,10,260.0
1,B6,PBI,721,213,11588.0
1,B6,PDX,80,8,-117.0
1,B6,PHL,123,33,1855.0
1,B6,PHX,57,15,732.0
1,B6,PIT,119,21,567.0
1,B6,PSE,72,8,-149.0
1,B6,PVD,88,8,-162.0
1,B6,PWM,82,16,610.0
1,B6,RDU,198,32,1559.0
1,B6,RIC,176,22,595.0
1,B6,ROC,87,10,119.0
1,B6,RSW,424,109,4934.0
1,B6,SAN,93,14,580.0
1,B6,SAV,85,17,830.0
1,B6,SEA,137,38,1867.0
1,B6,SFO,384,55,2700.0
1,B6,SJC,22,3,88.0
1,B6,SJU,962,237,10443.0
1,B6,SLC,141,34,1399.0
1,B6,SMF,75,13,512.0
1,B6,SRQ,88,27,1383.0
1,B6,STT,100,15,-90.0
1,B6,STX,31,7,409.0
1,B6,SWF,56,11,629.0
1,B6,SYR,120,27,1130.0
1,B6,TPA,505,133,7081.0
1,DL,ABE,23,1,44.0
1,DL,ABQ,67,7,565.0
1,DL,AGS,38,2,7.0
1,DL,ALB,59,9,698.0
1,DL,ANC,116,8,-203.0
1,DL,ATL,18452,2232,98177.0
1,DL,ATW,38,1,-54.0
1,DL,AUS,258,25,922.0
1,DL,AVL,61,5,225.0
1,DL,AVP,5,1,9.0
1,DL,BDL,274,41,2529.0
1,DL,BHM,242,27,1624.0
