MONTH,AIRLINE,STATE,total_voos,total_atrasados
1,AA,AL,58,10
1,AA,AR,9,2
1,AA,AZ,769,113
1,AA,CA,4845,640
1,AA,CO,808,218
1,AA,CT,87,16
1,AA,FL,6492,1419
1,AA,GA,396,65
1,AA,HI,346,65
1,AA,IA,56,13
1,AA,IL,3812,961
1,AA,IN,152,28
1,AA,KS,60,7
1,AA,KY,26,8
1,AA,LA,242,36
1,AA,MA,812,130
1,AA,MD,216,51
1,AA,MI,236,37
1,AA,MN,349,73
1,AA,MO,635,99
1,AA,NC,709,69
1,AA,NE,145,12
1,AA,NJ,303,67
1,AA,NM,123,10
1,AA,NV,972,129
1,AA,NY,2389,487
1,AA,OH,305,57
1,AA,OK,419,52
1,AA,OR,113,13
1,AA,PA,377,72
1,AA,PR,371,78
1,AA,TN,364,55
1,AA,TX,14095,3123
1,AA,UT,173,36
1,AA,VA,1239,191
1,AA,VI,158,27
1,AA,WA,369,53
1,AA,WI,93,14
1,AA,WY,36,3
1,AS,AK,2346,266
1,AS,AZ,239,35
1,AS,CA,2780,285
1,AS,CO,124,13
1,AS,FL,125,18
1,AS,GA,31,10
1,AS,HI,714,118
1,AS,IL,100,22
1,AS,LA,31,3
1,AS,MA,105,31
1,AS,MD,31,6
1,AS,MI,31,8
1,AS,MN,35,5
1,AS,MO,62,5
1,AS,NJ,57,9
1,AS,NM,31,2
1,AS,NV,383,46
1,AS,OR,1126,114
1,AS,PA,31,12
1,AS,TX,198,23
1,AS,UT,211,10
1,AS,VA,120,13
1,AS,WA,4282,578
1,B6,AZ,57,15
1,B6,CA,1691,247
1,B6,CO,75,23
1,B6,CT,304,78
1,B6,FL,5101,1292
1,B6,GA,85,17
1,B6,IL,161,33
1,B6,LA,93,24
1,B6,MA,3086,597
1,B6,MD,115,20
1,B6,ME,82,16
1,B6,MI,84,6
1,B6,NC,305,58
1,B6,NJ,587,114
1,B6,NM,20,5
1,B6,NV,316,53
1,B6,NY,4757,1013
1,B6,OR,80,8
1,B6,PA,242,54
1,B6,PR,1112,258
1,B6,RI,88,8
1,B6,SC,142,22
1,B6,TX,294,61
1,B6,UT,141,34
1,B6,VA,1150,163
1,B6,VI,131,22
1,B6,VT,85,14
1,B6,WA,137,38
1,DL,AK,116,8
1,DL,AL,452,46
1,DL,AR,204,11
1,DL,AZ,658,58
1,DL,CA,3410,336
1,DL,CO,646,110
1,DL,CT,274,41
1,DL,FL,6565,694
1,DL,GA,18710,2254
1,DL,HI,417,46
1,DL,IA,77,5
1,DL,ID,87,2
1,DL,IL,784,109
1,DL,IN,411,42
1,DL,KS,71,9
1,DL,KY,743,49
1,DL,LA,636,68
1,DL,MA,1187,222
1,DL,MD,513,42
1,DL,ME,27,2
1,DL,MI,4117,631
1,DL,MN,4178,567
1,DL,MO,648,50
1,DL,MS,246,19
1,DL,MT,180,15
1,DL,NC,1149,101
1,DL,ND,90,4
1,DL,NE,163,7
1,DL,NH,33,2
1,DL,NJ,386,47
1,DL,NM,67,7
1,DL,NV,913,81
1,DL,NY,4453,990
1,DL,OH,658,53
1,DL,OK,217,12
1,DL,OR,338,29
1,DL,PA,875,113
1,DL,PR,290,38
1,DL,RI,78,4
1,DL,SC,481,40
1,DL,SD,30,4
1,DL,TN,892,73
1,DL,TX,1466,166
1,DL,UT,2675,303
1,DL,VA,1370,132
1,DL,VI,105,15
1,DL,WA,1022,147
1,DL,WI,556,49
1,DL,WV,27,2
1,DL,WY,52,13
1,EV,AL,1111,188
1,EV,AR,582,94
1,EV,AZ,102,19
1,EV,CO,1402,363
1,EV,CT,161,37
1,EV,FL,729,139
1,EV,GA,5890,1147
1,EV,IA,286,42
1,EV,IL,4296,1052
1,EV,IN,531,104
1,EV,KS,186,22
1,EV,KY,814,156
1,EV,LA,1816,315
1,EV,MA,170,31
1,EV,MD,21,8
1,EV,ME,11,4
1,EV,MI,2945,549
1,EV,MN,834,188
1,EV,MO,837,109
1,EV,MS,640,76
1,EV,NC,1403,238
1,EV,ND,396,68
1,EV,NE,419,60
1,EV,NH,98,17
1,EV,NJ,2391,493
1,EV,NM,164,20
1,EV,NY,1686,436
1,EV,OH,1460,203
1,EV,OK,610,55
1,EV,PA,758,142
1,EV,RI,226,40
1,EV,SC,833,149
1,EV,SD,311,48
1,EV,TN,1313,198
1,EV,TX,9379,1434
1,EV,UT,15,10
1,EV,VA,2362,526
1,EV,VT,146,29
1,EV,WI,741,121
1,EV,WV,148,35
1,F9,AZ,227,63
1,F9,CA,395,70
1,F9,CO,1933,412
1,F9,DE,26,7
1,F9,FL,1085,406
1,F9,GA,184,70
1,F9,IA,15,3
1,F9,ID,2,0
1,F9,IL,312,116
1,F9,IN,38,5
1,F9,KY,120,17
1,F9,LA,33,11
1,F9,MI,23,14
1,F9,MN,71,19
1,F9,MO,130,24
1,F9,MT,22,1
1,F9,NC,39,14
1,F9,ND,19,7
1,F9,NE,39,3
1,F9,NJ,227,78
1,F9,NV,227,52
1,F9,NY,58,32
1,F9,OH,284,74
1,F9,OK,25,4
1,F9,OR,49,12
1,F9,PA,138,53
1,F9,SD,25,7
1,F9,TN,61,14
1,F9,TX,304,71
1,F9,UT,154,38
1,F9,VA,318,89
1,F9,WA,50,13
1,F9,WI,107,28
1,HA,AS,10,1
1,HA,AZ,31,1
1,HA,CA,376,37
1,HA,HI,5800,501
1,HA,NV,75,7
1,HA,NY,29,3
1,HA,OR,31,1
1,HA,WA,62,2
1,MQ,AL,323,73
1,MQ,AR,802,188
1,MQ,CA,29,5
1,MQ,CO,214,68
1,MQ,CT,26,9
1,MQ,FL,1444,207
