MONTH,AIRLINE,total_voos,total_atrasados,soma_delay
1,AA,43159,8539,456846.0
1,AS,13193,1632,41840.0
1,B6,20521,4293,205399.0
1,DL,63743,7868,376213.0
1,EV,48223,8965,469033.0
1,F9,6740,1827,120606.0
1,HA,6414,553,8380.0
1,MQ,27612,7807,441682.0
1,NK,8645,2076,113465.0
1,OO,46852,9871,567370.0
1,UA,37428,9094,521753.0
1,US,32530,4413,168969.0
1,VX,4651,702,32142.0
1,WN,98275,19917,933779.0
2,AA,37281,6661,377649.0
2,AS,12081,1353,32594.0
2,B6,18455,5819,361723.0
2,DL,59188,11515,718063.0
2,EV,42136,8796,470091.0
2,F9,5701,1928,146207.0
2,HA,5776,551,14905.0
2,MQ,23053,7196,422726.0
2,NK,7823,2191,132050.0
2,OO,42586,8641,465241.0
2,UA,35229,9272,523576.0
2,US,28579,5198,259243.0
2,VX,4068,760,50746.0
2,WN,86718,17925,853518.0
3,AA,44538,8979,493088.0
3,AS,14237,1740,43621.0
3,B6,22132,5453,335759.0
3,DL,73642,11206,619790.0
3,EV,52055,9145,460537.0
3,F9,6889,2092,137487.0
3,HA,6300,435,5198.0
3,MQ,26115,6070,317506.0
3,NK,9261,2078,116751.0
3,OO,49534,7137,288944.0
3,UA,42962,10114,595779.0
3,US,33732,4792,199791.0
3,VX,4816,854,50989.0
3,WN,107097,21556,1084203.0
4,AA,44416,8154,467616.0
4,AS,13909,1142,66.0
4,B6,21881,3809,182045.0
4,DL,72023,8836,447649.0
4,EV,48367,7117,324066.0
4,F9,7110,1532,82514.0
4,HA,6082,205,-13480.0
4,MQ,24837,4373,218263.0
4,NK,9432,1924,93388.0
4,OO,48615,6460,258178.0
4,UA,40972,8714,527296.0
4,US,32300,4120,145471.0
4,VX,4901,633,27707.0
4,WN,105786,19465,932436.0
5,AA,43826,8201,483501.0
5,AS,14637,1247,-2860.0
5,B6,22393,3415,157187.0
5,DL,74672,9494,558706.0
5,EV,48172,8453,482142.0
5,F9,8093,1627,90860.0
5,HA,6427,298,-8676.0
5,MQ,24484,4325,232601.0
5,NK,9826,3385,231082.0
5,OO,49245,7160,295380.0
5,UA,44063,10435,644636.0
5,US,33529,3842,134804.0
5,VX,5206,1107,55758.0
5,WN,106726,23427,1272268.0
6,AA,43821,9695,619336.0
6,AS,15015,1509,29031.0
6,B6,22327,4500,254942.0
6,DL,77016,13307,837558.0
6,EV,47377,11078,717688.0
6,F9,7839,2137,149349.0
6,HA,6667,295,-8114.0
6,MQ,24081,5726,313810.0
6,NK,9347,4195,337473.0
6,OO,49199,9111,498274.0
6,UA,44979,15325,1093712.0
6,US,33978,5607,281126.0
6,VX,5239,832,45545.0
6,WN,107892,29517,1728676.0
7,AA,80872,14535,784762.0
7,AS,15772,1664,40421.0
7,B6,23804,5123,268577.0
7,DL,80635,12444,666632.0
7,EV,49472,8509,446513.0
7,F9,8057,1878,111540.0
7,HA,6944,484,4935.0
7,MQ,24116,4356,217249.0
7,NK,10220,2846,167156.0
7,OO,51806,9250,456774.0
7,UA,46010,13231,890593.0
7,VX,5393,1087,52406.0
7,WN,112811,30555,1760877.0
8,AA,78958,13775,737067.0
8,AS,16059,2142,58861.0
8,B6,23571,5724,343509.0
8,DL,80878,11700,626391.0
8,EV,47826,7507,371074.0
8,F9,8116,1484,71839.0
8,HA,6857,858,33082.0
8,MQ,23178,3926,189776.0
8,NK,10246,3350,227869.0
8,OO,51936,8709,400694.0
8,UA,45072,10359,642639.0
8,VX,5664,1017,50307.0
8,WN,107123,22287,1256772.0
9,AA,73026,8984,361940.0
9,AS,14245,1214,3337.0
9,B6,21043,3664,163614.0
9,DL,72057,6423,253240.0
9,EV,43455,4846,154540.0
9,F9,7852,1004,40007.0
9,HA,6130,661,12687.0
9,MQ,20834,2715,94846.0
9,NK,9880,1947,95582.0
9,OO,47273,5544,182149.0
9,UA,41672,5864,309801.0
9,VX,5143,554,16941.0
9,WN,100261,12583,539308.0
10,AA,76565,9081,405554.0
10,AS,14434,1214,-1545.0
10,B6,21783,3827,174886.0
10,DL,75535,6266,241434.0
10,EV,45251,5618,209144.0
10,F9,8089,1070,32607.0
10,HA,6230,358,1049.0
10,MQ,21709,2229,74102.0
10,NK,10147,1802,83970.0
10,OO,48567,5469,177160.0
10,UA,45766,6262,337499.0
10,VX,5441,830,38540.0
10,WN,104194,13663,630411.0
11,AA,73319,9934,471391.0
11,AS,13904,1467,23571.0
11,B6,21585,3438,153430.0
11,DL,72214,7448,327655.0
11,EV,41789,6237,297117.0
11,F9,7727,1601,89877.0
11,HA,6019,250,-10381.0
11,MQ,19400,2537,136340.0
11,NK,10059,1993,86752.0
11,OO,46585,6489,315269.0
11,UA,42340,7191,475564.0
11,VX,5357,749,30817.0
11,WN,103075,17538,810272.0
12,AA,75284,12624,679607.0
12,AS,14366,1580,36694.0
12,B6,23277,6676,420557.0
12,DL,70454,11567,740487.0
12,EV,42623,7431,421318.0
12,F9,8035,1947,128982.0
12,HA,6255,282,-2791.0
12,MQ,20188,2909,141338.0
12,NK,10489,2807,150226.0
12,OO,46195,9539,587652.0
12,UA,42657,10041,758555.0
12,VX,5490,1495,100808.0
12,WN,105854,25526,1367533.0
