MONTH,AIRLINE,PERIOD_OF_DAY,total_voos,total_atrasados
1,AA,Madrugada,598,78
1,AA,Manhã,17388,2312
1,AA,Noite,8755,2340
1,AA,Tarde,16418,3809
1,AS,Madrugada,506,57
1,AS,Manhã,5489,510
1,AS,Noite,2712,383
1,AS,Tarde,4486,682
1,B6,Madrugada,658,162
1,B6,Manhã,8287,938
1,B6,Noite,4867,1424
1,B6,Tarde,6709,1769
1,DL,Madrugada,656,79
1,DL,Manhã,26283,2162
1,DL,Noite,11771,2122
1,DL,Tarde,25033,3505
1,EV,Manhã,19268,2724
1,EV,Noite,8198,1984
1,EV,Tarde,20757,4257
1,F9,Madrugada,192,31
1,F9,Manhã,2534,479
1,F9,Noite,1748,598
1,F9,Tarde,2266,719
1,HA,Madrugada,50,6
1,HA,Manhã,2553,94
1,HA,Noite,1202,162
1,HA,Tarde,2609,291
1,MQ,Manhã,11445,2423
1,MQ,Noite,5421,1865
1,MQ,Tarde,10746,3519
1,NK,Madrugada,452,91
1,NK,Manhã,3365,558
1,NK,Noite,2224,695
1,NK,Tarde,2604,732
1,OO,Madrugada,95,19
1,OO,Manhã,19057,3311
1,OO,Noite,8528,1884
1,OO,Tarde,19172,4657
1,UA,Madrugada,530,126
1,UA,Manhã,16108,2702
1,UA,Noite,6322,2175
1,UA,Tarde,14468,4091
1,US,Madrugada,508,48
1,US,Manhã,14074,1334
1,US,Noite,6493,1153
1,US,Tarde,11455,1878
1,VX,Madrugada,123,10
1,VX,Manhã,1948,220
1,VX,Noite,745,126
1,VX,Tarde,1835,346
1,WN,Manhã,39754,3743
1,WN,Noite,21232,6908
1,WN,Tarde,37289,9266
2,AA,Madrugada,532,64
2,AA,Manhã,15032,1835
2,AA,Noite,7619,1745
2,AA,Tarde,14098,3017
2,AS,Madrugada,409,46
2,AS,Manhã,5045,360
2,AS,Noite,2510,356
2,AS,Tarde,4117,591
2,B6,Madrugada,542,192
2,B6,Manhã,7432,1394
2,B6,Noite,4441,1886
2,B6,Tarde,6040,2347
2,DL,Madrugada,604,98
2,DL,Manhã,24239,3303
2,DL,Noite,11165,2816
2,DL,Tarde,23180,5298
2,EV,Manhã,16875,2678
2,EV,Noite,7265,1986
2,EV,Tarde,17996,4132
2,F9,Madrugada,171,52
2,F9,Manhã,2159,522
2,F9,Noite,1424,575
2,F9,Tarde,1947,779
2,HA,Madrugada,44,4
2,HA,Manhã,2300,76
2,HA,Noite,1082,198
2,HA,Tarde,2350,273
2,MQ,Manhã,9719,2298
2,MQ,Noite,4434,1616
2,MQ,Tarde,8900,3282
2,NK,Madrugada,399,118
2,NK,Manhã,3111,601
2,NK,Noite,1974,690
2,NK,Tarde,2339,782
2,OO,Madrugada,96,15
2,OO,Manhã,17203,2763
2,OO,Noite,7940,1810
2,OO,Tarde,17347,4053
2,UA,Madrugada,481,102
2,UA,Manhã,15192,2876
2,UA,Noite,6143,2241
2,UA,Tarde,13413,4053
2,US,Madrugada,434,24
2,US,Manhã,12302,1668
2,US,Noite,5717,1349
2,US,Tarde,10126,2157
2,VX,Madrugada,101,6
2,VX,Manhã,1701,214
2,VX,Noite,614,142
2,VX,Tarde,1652,398
2,WN,Manhã,35113,3567
2,WN,Noite,18396,6012
2,WN,Tarde,33209,8346
3,AA,Madrugada,644,113
3,AA,Manhã,17893,2314
3,AA,Noite,9396,2635
3,AA,Tarde,16605,3917
3,AS,Madrugada,553,66
3,AS,Manhã,6070,537
3,AS,Noite,3204,499
3,AS,Tarde,4410,638
3,B6,Madrugada,671,202
3,B6,Manhã,9078,1289
3,B6,Noite,5241,1866
3,B6,Tarde,7142,2096
3,DL,Madrugada,984,141
3,DL,Manhã,29666,2969
3,DL,Noite,15296,3170
3,DL,Tarde,27696,4926
3,EV,Madrugada,1,0
3,EV,Manhã,20927,2714
3,EV,Noite,9443,2063
3,EV,Tarde,21684,4368
3,F9,Madrugada,200,44
3,F9,Manhã,2676,568
3,F9,Noite,1774,704
3,F9,Tarde,2239,776
3,HA,Madrugada,48,9
3,HA,Manhã,2657,146
3,HA,Noite,1079,79
3,HA,Tarde,2516,201
3,MQ,Manhã,10770,1882
3,MQ,Noite,5246,1511
3,MQ,Tarde,10099,2677
3,NK,Madrugada,423,87
3,NK,Manhã,3590,604
3,NK,Noite,2461,678
3,NK,Tarde,2787,709
3,OO,Madrugada,102,8
3,OO,Manhã,19547,2271
3,OO,Noite,9864,1593
3,OO,Tarde,20021,3265
3,UA,Madrugada,789,183
3,UA,Manhã,17726,2798
3,UA,Noite,9188,2966
3,UA,Tarde,15259,4167
3,US,Madrugada,563,53
3,US,Manhã,13974,1326
3,US,Noite,7690,1424
3,US,Tarde,11505,1989
3,VX,Madrugada,136,12
3,VX,Manhã,2028,267
3,VX,Noite,781,184
3,VX,Tarde,1871,391
3,WN,Manhã,43314,4041
3,WN,Noite,25755,8162
3,WN,Tarde,38028,9353
4,AA,Madrugada,637,78
4,AA,Manhã,18645,2358
4,AA,Noite,9341,2538
4,AA,Tarde,15793,3180
4,AS,Madrugada,545,37
4,AS,Manhã,5943,378
4,AS,Noite,3169,323
4,AS,Tarde,4252,404
4,B6,Madrugada,694,157
4,B6,Manhã,9027,793
4,B6,Noite,5226,1442
4,B6,Tarde,6934,1417
4,DL,Madrugada,921,90
4,DL,Manhã,29127,2268
4,DL,Noite,14736,2671
4,DL,Tarde,27239,3807
4,EV,Manhã,19372,2071
4,EV,Noite,8829,1734
4,EV,Tarde,20166,3312
4,F9,Madrugada,208,46
4,F9,Manhã,2724,338
4,F9,Noite,1827,585
4,F9,Tarde,2351,563
4,HA,Madrugada,47,6
4,HA,Manhã,2612,78
4,HA,Noite,1040,31
4,HA,Tarde,2383,90
4,MQ,Manhã,9921,1490
4,MQ,Noite,5241,1038
4,MQ,Tarde,9675,1845
4,NK,Madrugada,438,102
4,NK,Manhã,3630,445
4,NK,Noite,2483,692
4,NK,Tarde,2881,685
4,OO,Madrugada,73,6
4,OO,Manhã,19079,1895
4,OO,Noite,9919,1515
4,OO,Tarde,19544,3044
4,UA,Madrugada,694,154
4,UA,Manhã,17252,2381
4,UA,Noite,8394,2513
4,UA,Tarde,14632,3666
4,US,Madrugada,329,20
4,US,Manhã,13617,1161
4,US,Noite,7228,1310
4,US,Tarde,11126,1629
4,VX,Madrugada,152,5
4,VX,Manhã,2051,200
4,VX,Noite,893,140
4,VX,Tarde,1805,288
4,WN,Manhã,43245,3616
4,WN,Noite,25300,7561
4,WN,Tarde,37241,8288
5,AA,Madrugada,720,84
5,AA,Manhã,18369,2413
5,AA,Noite,9226,2414
5,AA,Tarde,15511,3290
5,AS,Madrugada,571,30
5,AS,Manhã,6267,359
5,AS,Noite,3266,383
5,AS,Tarde,4533,475
5,B6,Madrugada,640,110
5,B6,Manhã,9211,689
5,B6,Noite,5372,1300
5,B6,Tarde,7170,1316
5,DL,Madrugada,1014,149
5,DL,Manhã,30311,1995
5,DL,Noite,15299,3366
5,DL,Tarde,28048,3984
5,EV,Madrugada,6,4
5,EV,Manhã,19678,2252
5,EV,Noite,8855,2242
5,EV,Tarde,19633,3955
5,F9,Madrugada,363,79
5,F9,Manhã,2882,374
5,F9,Noite,1997,573
5,F9,Tarde,2851,601
5,HA,Madrugada,49,1
5,HA,Manhã,2759,86
5,HA,Noite,1146,62
5,HA,Tarde,2473,149
5,MQ,Madrugada,16,2
5,MQ,Manhã,9733,1294
5,MQ,Noite,5051,1093
5,MQ,Tarde,9684,1936
5,NK,Madrugada,461,194
5,NK,Manhã,3877,938
5,NK,Noite,2599,1153
5,NK,Tarde,2889,1100
5,OO,Madrugada,90,11
5,OO,Manhã,19371,1982
5,OO,Noite,10027,1779
5,OO,Tarde,19757,3388
5,UA,Madrugada,859,214
5,UA,Manhã,18582,2512
5,UA,Noite,8700,3150
5,UA,Tarde,15922,4559
5,US,Madrugada,447,35
5,US,Manhã,13936,1000
5,US,Noite,7594,1212
5,US,Tarde,11552,1595
5,VX,Madrugada,129,21
5,VX,Manhã,2168,279
5,VX,Noite,987,326
5,VX,Tarde,1922,481
5,WN,Manhã,43304,3933
5,WN,Noite,25046,9171
5,WN,Tarde,38376,10323
6,AA,Madrugada,593,99
6,AA,Manhã,18443,2518
6,AA,Noite,9268,3082
6,AA,Tarde,15517,3996
6,AS,Madrugada,572,60
6,AS,Manhã,6301,460
6,AS,Noite,3486,437
6,AS,Tarde,4656,552
6,B6,Madrugada,854,263
6,B6,Manhã,9076,824
6,B6,Noite,5487,1868
6,B6,Tarde,6910,1545
6,DL,Madrugada,1281,254
6,DL,Manhã,31344,2796
6,DL,Noite,15991,4522
6,DL,Tarde,28400,5735
6,EV,Madrugada,153,20
6,EV,Manhã,19350,2885
6,EV,Noite,8895,3180
6,EV,Tarde,18979,4993
6,F9,Madrugada,391,120
6,F9,Manhã,2797,544
6,F9,Noite,1910,728
6,F9,Tarde,2741,745
6,HA,Madrugada,49,2
6,HA,Manhã,2899,76
6,HA,Noite,1124,56
6,HA,Tarde,2595,161
6,MQ,Manhã,9919,1500
6,MQ,Noite,5162,1825
6,MQ,Tarde,9000,2401
6,NK,Madrugada,451,237
6,NK,Manhã,3666,1262
6,NK,Noite,2479,1373
6,NK,Tarde,2751,1323
6,OO,Madrugada,174,33
6,OO,Manhã,19213,2473
6,OO,Noite,10054,2404
6,OO,Tarde,19758,4201
6,UA,Madrugada,1032,400
6,UA,Manhã,19012,4140
6,UA,Noite,9473,4604
6,UA,Tarde,15462,6181
6,US,Madrugada,829,149
6,US,Manhã,13756,1217
6,US,Noite,8243,2159
6,US,Tarde,11150,2082
6,VX,Madrugada,137,9
6,VX,Manhã,2168,239
6,VX,Noite,976,236
6,VX,Tarde,1958,348
6,WN,Madrugada,42,28
6,WN,Manhã,44729,5227
6,WN,Noite,26175,12217
6,WN,Tarde,36946,12045
7,AA,Madrugada,1600,235
7,AA,Manhã,33345,3466
7,AA,Noite,18286,5018
7,AA,Tarde,27641,5816
7,AS,Madrugada,613,43
7,AS,Manhã,6579,488
7,AS,Noite,3686,568
7,AS,Tarde,4894,565
7,B6,Madrugada,1000,291
7,B6,Manhã,9643,978
7,B6,Noite,5926,1951
7,B6,Tarde,7235,1903
7,DL,Madrugada,1511,307
7,DL,Manhã,32785,2666
7,DL,Noite,16616,4193
7,DL,Tarde,29723,5278
7,EV,Madrugada,117,9
7,EV,Manhã,20162,2177
7,EV,Noite,9081,2248
7,EV,Tarde,20112,4075
7,F9,Madrugada,443,119
7,F9,Manhã,2885,453
7,F9,Noite,1994,655
7,F9,Tarde,2735,651
7,HA,Madrugada,55,3
7,HA,Manhã,2999,116
7,HA,Noite,1186,101
7,HA,Tarde,2704,264
7,MQ,Manhã,9723,1097
7,MQ,Noite,5105,1309
7,MQ,Tarde,9288,1950
7,NK,Madrugada,508,158
7,NK,Manhã,3958,719
7,NK,Noite,2771,1068
7,NK,Tarde,2983,901
7,OO,Madrugada,183,25
7,OO,Manhã,20745,2589
7,OO,Noite,10288,2487
7,OO,Tarde,20590,4149
7,UA,Madrugada,1009,372
7,UA,Manhã,19554,3747
7,UA,Noite,9925,3960
7,UA,Tarde,15522,5152
7,VX,Madrugada,111,22
7,VX,Manhã,2200,271
7,VX,Noite,1013,309
7,VX,Tarde,2069,485
7,WN,Madrugada,48,37
7,WN,Manhã,46890,5191
7,WN,Noite,27452,12744
7,WN,Tarde,38421,12583
8,AA,Madrugada,1315,213
8,AA,Manhã,32969,3566
8,AA,Noite,17365,4685
8,AA,Tarde,27309,5311
8,AS,Madrugada,618,71
8,AS,Manhã,6703,618
8,AS,Noite,3778,657
8,AS,Tarde,4960,796
8,B6,Madrugada,871,291
8,B6,Manhã,9625,1230
8,B6,Noite,5905,2180
8,B6,Tarde,7170,2023
8,DL,Madrugada,1523,288
8,DL,Manhã,32668,2796
8,DL,Noite,16726,3888
8,DL,Tarde,29961,4728
8,EV,Madrugada,91,15
8,EV,Manhã,19252,1853
8,EV,Noite,8939,2094
8,EV,Tarde,19544,3545
8,F9,Madrugada,453,90
8,F9,Manhã,2941,351
8,F9,Noite,1976,522
8,F9,Tarde,2746,521
8,HA,Madrugada,50,2
8,HA,Manhã,2968,201
8,HA,Noite,1166,212
8,HA,Tarde,2673,443
8,MQ,Manhã,9301,1075
8,MQ,Noite,5042,1084
8,MQ,Tarde,8835,1767
8,NK,Madrugada,514,167
8,NK,Manhã,3929,943
8,NK,Noite,2769,1140
8,NK,Tarde,3034,1100
8,OO,Madrugada,165,22
8,OO,Manhã,20698,2398
8,OO,Noite,10414,2417
8,OO,Tarde,20659,3872
8,UA,Madrugada,907,274
8,UA,Manhã,19028,2796
8,UA,Noite,9264,3103
8,UA,Tarde,15873,4186
8,VX,Madrugada,156,39
8,VX,Manhã,2250,228
8,VX,Noite,1169,358
8,VX,Tarde,2089,392
8,WN,Madrugada,12,9
8,WN,Manhã,44804,4011
8,WN,Noite,23692,8570
8,WN,Tarde,38615,9697
9,AA,Madrugada,809,72
9,AA,Manhã,31136,2347
9,AA,Noite,14876,2627
9,AA,Tarde,26205,3938
9,AS,Madrugada,550,47
9,AS,Manhã,6033,423
9,AS,Noite,3283,335
9,AS,Tarde,4379,409
9,B6,Madrugada,582,162
9,B6,Manhã,8678,681
9,B6,Noite,4962,1408
9,B6,Tarde,6821,1413
9,DL,Madrugada,901,93
9,DL,Manhã,29438,1575
9,DL,Noite,14201,2022
9,DL,Tarde,27517,2733
9,EV,Madrugada,89,10
9,EV,Manhã,17568,1275
9,EV,Noite,8224,1335
9,EV,Tarde,17574,2226
9,F9,Madrugada,442,57
9,F9,Manhã,2867,229
9,F9,Noite,1917,342
9,F9,Tarde,2626,376
9,HA,Madrugada,47,5
9,HA,Manhã,2664,156
9,HA,Noite,1130,120
9,HA,Tarde,2289,380
9,MQ,Manhã,8206,745
9,MQ,Noite,4550,707
9,MQ,Tarde,8078,1263
9,NK,Madrugada,447,71
9,NK,Manhã,3944,553
9,NK,Noite,2563,701
9,NK,Tarde,2926,622
9,OO,Madrugada,127,7
9,OO,Manhã,19099,1648
9,OO,Noite,9102,1351
9,OO,Tarde,18945,2538
9,UA,Madrugada,660,82
9,UA,Manhã,17810,1657
9,UA,Noite,7616,1485
9,UA,Tarde,15586,2640
9,VX,Madrugada,135,0
9,VX,Manhã,2142,142
9,VX,Noite,867,140
9,VX,Tarde,1999,272
9,WN,Manhã,41864,2568
9,WN,Noite,21099,4273
9,WN,Tarde,37298,5742
10,AA,Madrugada,823,71
10,AA,Manhã,32357,2552
10,AA,Noite,15976,2589
10,AA,Tarde,27409,3869
10,AS,Madrugada,506,45
